"","hours","freq","PathOrder"
"1",0,1015,1
"2",1,1655,1
"3",2,1240,1
"4",3,1248,1
"5",4,1709,1
"6",5,1079,1
"7",6,717,1
"8",7,297,1
"9",8,199,1
"10",9,64,1
"11",10,7,1
"12",11,12,1
"13",12,29,1
"14",13,29,1
"15",14,90,1
"16",15,113,1
"17",16,181,1
"18",17,250,1
"19",18,208,1
"20",19,236,1
"21",20,272,1
"22",21,331,1
"23",22,783,1
"24",23,795,1
"25",0,0,0
"26",1,0,0
"27",2,0,0
"28",3,0,0
"29",4,0,0
"30",5,0,0
"31",6,0,0
"32",7,0,0
"33",8,0,0
"34",9,0,0
"35",10,0,0
"36",11,0,0
"37",12,0,0
"38",13,0,0
"39",14,0,0
"40",15,0,0
"41",16,0,0
"42",17,0,0
"43",18,0,0
"44",19,0,0
"45",20,0,0
"46",21,0,0
"47",22,0,0
"48",23,0,0
