"","hours","freq","PathOrder"
"1",0,42,1
"2",1,48,1
"3",2,75,1
"4",3,305,1
"5",4,307,1
"6",5,139,1
"7",6,68,1
"8",7,6,1
"9",8,1,1
"10",10,2,1
"11",15,1,1
"12",16,4,1
"13",17,14,1
"14",18,14,1
"15",19,16,1
"16",20,49,1
"17",21,72,1
"18",22,57,1
"19",23,132,1
"20",0,0,0
"21",1,0,0
"22",2,0,0
"23",3,0,0
"24",4,0,0
"25",5,0,0
"26",6,0,0
"27",7,0,0
"28",8,0,0
"29",10,0,0
"30",15,0,0
"31",16,0,0
"32",17,0,0
"33",18,0,0
"34",19,0,0
"35",20,0,0
"36",21,0,0
"37",22,0,0
"38",23,0,0
